prefectureEn,prefectureJp,region,iso
Aichi-ken,愛知県,Chūbu,23
Akita-ken,秋田県,Tōhoku,05
Aomori-ken,青森県,Tōhoku,02
Chiba-ken,千葉県,Kantō,12
Ehime-ken,愛媛県,Shikoku,38
Fukui-ken,福井県,Chūbu,18
Fukuoka-ken,福岡県,Kyushu,40
Fukushima-ken,福島県,Tōhoku,07
Gifu-ken,岐阜県,Chūbu,21
Gunma-ken,群馬県,Kantō,10
Hiroshima-ken,広島県,Chūgoku,34
Hokkaido,北海道,Hokkaido,01
Hyōgo-ken,兵庫県,Kansai,28
Ibaraki-ken,茨城県,Kantō,08
Ishikawa-ken,石川県,Chūbu,17
Iwate-ken,岩手県,Tōhoku,03
Kagawa-ken,香川県,Shikoku,37
Kagoshima-ken,鹿児島県,Kyushu,46
Kanagawa-ken,神奈川県,Kantō,14
Kōchi-ken,高知県,Shikoku,39
Kumamoto-ken,熊本県,Kyushu,43
Kyōto-fu,京都府,Kansai,26
Mie-ken,三重県,Kansai,24
Miyagi-ken,宮城県,Tōhoku,04
Miyazaki-ken,宮崎県,Kyushu,45
Nagano-ken,長野県,Chūbu,20
Nagasaki-ken,長崎県,Kyushu,42
Nara-ken,奈良県,Kansai,29
Niigata-ken,新潟県,Chūbu,15
Ōita-ken,大分県,Kyushu,44
Okayama-ken,岡山県,Chūgoku,33
Okinawa-ken,沖縄県,Kyushu,47
Ōsaka-fu,大阪府,Kansai,27
Saga-ken,佐賀県,Kyushu,41
Saitama-ken,埼玉県,Kantō,11
Shiga-ken,滋賀県,Kansai,25
Shimane-ken,島根県,Chūgoku,32
Shizuoka-ken,静岡県,Chūbu,22
Tochigi-ken,栃木県,Kantō,09
Tokushima-ken,徳島県,Shikoku,36
Tōkyō-to,東京都,Kantō,13
Tottori-ken,鳥取県,Chūgoku,31
Toyama-ken,富山県,Chūbu,16
Wakayama-ken,和歌山県,Kansai,30
Yamagata-ken,山形県,Tōhoku,06
Yamaguchi-ken,山口県,Chūgoku,35
Yamanashi-ken,山梨県,Chūbu,19
